dataset,Outside Temperature,Avg. Temperature,Temperature difference,RH,va,Tg,Age,Male,Female,Height,Weight,Well-being,Duration,Icl,Alley,Window,y
August,15.69,18.56,2.92,73.44,0.04,17.87,23,0,1,169.0,74.0,1.0,7.5,1.0628,1,0,-1
August,15.59,19.185000000000002,1.65,74.41,0.155,18.125,18,1,0,186.0,105.0,1.0,22.5,0.82065,1,0,0
August,15.69,19.58,1.745,73.255,0.02,18.905,33,0,1,160.0,45.0,2.0,7.5,0.72045,0,1,0
August,15.69,19.105,1.6150000000000002,73.275,0.24,18.155,26,0,1,167.0,59.0,1.0,7.5,0.65365,0,1,-1
August,15.69,19.05,3.47,77.18,0.24,18.62,47,0,1,172.0,70.0,2.0,7.5,0.7454999999999999,1,0,1
August,15.69,19.695,1.8,73.39,0.02,19.75,23,1,0,185.0,73.0,2.0,7.5,0.98765,1,0,-1
August,15.69,19.08,3.56,77.14,0.26,18.69,49,1,0,178.0,60.0,1.0,22.5,0.3948,0,1,0
August,15.81,18.65,3.1,72.33,0.04,18.37,29,1,0,192.0,95.0,1.0,22.5,0.6536500000000001,1,0,1
August,15.81,19.299999999999997,1.56,72.77000000000001,0.18,18.375,27,0,1,155.0,55.0,1.0,7.5,0.70375,1,0,1
August,15.81,19.23,1.615,71.725,0.17500000000000002,18.47,33,1,0,190.0,100.0,1.0,7.5,0.98765,0,1,1
August,15.91,19.225,1.615,71.67500000000001,0.18,18.44,56,1,0,187.0,130.0,1.0,22.5,0.8123,1,0,-1
August,15.91,19.245,1.5699999999999998,71.655,0.13,18.47,46,0,1,155.0,73.0,1.0,7.5,0.90415,0,1,0
August,15.91,18.71,3.01,72.42,0.04,18.5,38,1,0,191.0,78.0,1.0,7.5,1.17135,0,1,0
August,15.91,19.12,3.59,75.91,0.26,19.12,47,0,1,165.0,60.0,2.0,52.5,0.98765,0,1,0
August,15.91,19.29,1.2,77.4,0.08,19.12,39,0,1,150.0,66.0,1.0,7.5,1.47195,0,1,-1
August,16.1,19.42,1.48,70.5,0.16,18.53,22,1,0,184.0,78.0,2.0,22.5,0.75385,1,0,-1
August,16.1,19.39,1.09,75.36,0.08,19.37,43,0,1,158.0,63.0,0.0,7.5,0.68705,0,1,0
August,16.5,19.86,1.09,74.73,0.08,20.06,25,1,0,170.0,68.0,1.0,60.0,0.58685,0,1,0
August,16.3,19.5,3.1,71.04,0.04,19.31,24,0,1,165.0,54.0,0.0,22.5,1.1129,0,1,1
August,16.3,20.07,1.15,75.69,0.08,20.19,19,0,1,167.0,64.0,2.0,22.5,0.58685,0,1,1
August,16.3,20.15,1.6150000000000002,70.34,0.15,18.97,16,1,0,180.0,90.0,2.0,7.5,0.55345,0,1,1
August,16.2,20.14,1.5862500000000002,69.935,0.135,19.0,58,0,1,163.0,99.0,1.0,7.5,1.0127,0,1,1
August,16.41,20.18,3.47,73.41,0.29,20.56,18,1,0,188.0,88.0,2.0,7.5,0.60355,0,1,0
August,17.7,21.715,2.23,62.26,0.14,20.34,24,0,1,165.0,60.0,1.0,7.5,0.38645,0,1,0
August,17.7,20.54,3.8,66.41,0.05,19.75,68,1,0,180.0,79.0,1.0,52.5,0.93755,0,1,1
August,17.7,20.92,1.74,72.46,0.08,20.56,34,0,1,165.0,78.0,1.0,7.5,0.75385,0,1,1
August,17.6,21.365000000000002,1.2999999999999998,61.254999999999995,0.175,20.5,31,0,1,163.0,60.0,1.0,7.5,0.62025,0,1,0
August,17.6,21.985,1.465,60.099999999999994,0.03,22.0,39,0,1,167.0,68.0,2.0,37.5,0.9459,0,1,0
August,17.5,20.69,3.01,64.11,0.09,20.5,48,1,0,180.0,70.0,1.0,7.5,0.68705,0,1,1
August,17.5,21.59,1.065,64.07,0.18,20.375,30,0,1,172.0,66.0,0.0,7.5,0.60355,0,1,-1
August,17.6,22.73,1.4549999999999998,58.239999999999995,0.03,22.495,52,0,1,160.0,60.0,-1.0,7.5,0.46995,0,1,0
August,17.5,20.89,2.73,60.44,0.06,21.0,23,0,1,168.0,54.0,2.0,7.5,0.8791,1,0,1
August,17.5,20.54,2.27,65.1,0.23,19.94,30,1,0,172.0,63.0,1.0,22.5,0.55345,0,1,1
August,17.7,20.67,2.08,65.86,0.23,20.06,30,0,1,155.0,60.0,2.0,22.5,0.46995,1,0,0
August,17.8,21.01,2.55,61.23,0.07,21.06,35,1,0,189.0,85.0,1.0,60.0,0.7622,1,0,1
August,17.81,21.68,2.64,60.09,0.1,21.62,43,0,1,170.0,56.0,1.0,7.5,0.68705,1,0,0
August,17.91,23.82,1.815,55.915,0.04,23.405,45,1,0,176.0,62.0,2.0,7.5,0.996,0,1,0
August,17.91,23.82,1.815,55.915,0.04,23.405,12,1,0,153.0,35.0,2.0,7.5,1.05445,0,1,1
August,18.1,22.21,1.02,56.790000000000006,0.245,21.5,19,1,0,185.0,80.0,1.0,22.5,0.5618,1,0,0
August,17.6,22.494999999999997,0.845,58.83,0.19,22.15,11,0,1,165.0,55.0,2.0,11.101973684210526,0.75385,1,0,0
August,17.6,22.51,1.62,65.13,0.09,22.25,23,0,1,163.0,55.0,1.0,7.5,0.4866499999999999,0,1,1
August,16.2,22.685,1.7149999999999999,56.89,0.04,23.625,24,0,1,172.0,58.0,1.0,7.5,1.30495,1,0,0
August,16.2,21.36,1.51,59.675,0.14500000000000002,21.115000000000002,22,1,0,170.0,55.0,1.0,7.5,0.75385,1,0,1
August,15.5,20.78,1.74,70.66,0.09,20.56,48,0,1,171.0,65.0,0.0,22.5,0.75385,0,1,0
August,15.5,20.81,1.85,71.13,0.09,20.62,47,1,0,189.0,84.0,1.0,7.5,0.73715,0,1,0
August,15.5,20.27,2.54,65.78,0.27,21.25,34,0,1,169.0,58.0,1.0,7.5,0.97095,1,0,0
August,15.3,20.81,2.5,66.9,0.07,21.0,32,1,0,186.0,87.0,1.0,22.5,0.88745,0,1,0
August,15.3,20.96,1.79,73.99,0.09,20.75,27,0,1,174.0,57.0,1.0,7.5,0.67035,1,0,0
August,15.2,21.06,1.8,74.35,0.11,20.81,12,0,1,164.0,54.0,1.0,22.5,0.75385,0,1,0
August,15.2,21.06,1.8,74.35,0.11,20.81,15,1,0,173.0,55.0,1.0,22.5,0.7622,1,0,1
August,15.2,21.06,1.8,74.35,0.11,20.81,51,0,1,162.0,65.0,2.0,37.5,0.6536500000000001,0,1,0
August,15.2,21.799999999999997,1.24,66.55,0.185,21.285,40,0,1,163.0,70.0,1.0,37.5,0.75385,0,1,-1
August,15.0,21.08,1.74,73.65,0.2,21.25,60,0,1,164.0,92.0,1.0,37.5,1.1129,0,1,0
August,15.0,21.05,1.79,72.28,0.09,20.94,46,1,0,186.0,95.0,1.0,7.5,0.70375,0,1,1
August,15.8,21.490000000000002,1.665,61.265,0.18,20.655,36,1,0,189.0,97.0,2.0,7.5,0.73715,0,1,1
August,16.7,21.79,2.32,68.47,0.27,21.37,33,1,0,180.0,88.0,1.0,7.5,0.5284,1,0,0
August,16.5,22.83,3.32,68.05,0.11,22.56,71,1,0,180.0,120.0,1.0,7.5,0.3113,0,1,0
August,16.5,22.715,1.365,58.644999999999996,0.16999999999999998,22.16,66,0,1,167.0,61.0,1.0,22.5,0.55345,1,0,-1
August,17.4,21.37,2.45,62.08,0.26,20.88,15,1,0,189.0,98.0,1.0,22.5,1.05445,0,1,1
August,17.4,21.77,5.27,64.85,0.29,22.06,35,0,1,165.0,80.0,2.0,7.5,0.4866499999999999,0,1,-1
August,17.6,23.125,1.75,56.86,0.21000000000000002,21.78,63,1,0,172.0,62.0,1.0,22.5,0.9292,0,1,0
August,17.5,22.92,6.8,62.65,0.32,22.81,12,1,0,170.0,80.0,1.0,22.5,0.4616,0,1,0
