dataset,Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal feeling (global)
1,15.69,18.56,73.44,0.04,17.87,0,23,169,74,7.5,1.0628,-2
1,15.59,19.185000000000002,74.41,0.155,18.125,1,18,186,105,22.5,0.82065,0
1,15.69,19.58,73.255,0.02,18.905,0,33,160,45,7.5,0.72045,0
1,15.69,19.105,73.275,0.24,18.155,0,26,167,59,7.5,0.65365,-1
1,15.69,19.05,77.18,0.24,18.62,0,47,172,70,7.5,0.7454999999999999,2
1,15.69,19.695,73.39,0.02,19.75,1,23,185,73,7.5,0.98765,-1
1,15.69,19.08,77.14,0.26,18.69,1,49,178,60,22.5,0.3948,0
1,15.81,18.65,72.33,0.04,18.37,1,29,192,95,22.5,0.6536500000000001,1
1,15.81,19.299999999999997,72.77000000000001,0.18,18.375,0,27,155,55,7.5,0.70375,1
1,15.81,19.23,71.725,0.17500000000000002,18.47,1,33,190,100,7.5,0.98765,1
1,15.91,19.225,71.67500000000001,0.18,18.44,1,56,187,130,22.5,0.8123,-1
1,15.91,19.245,71.655,0.13,18.47,0,46,155,73,7.5,0.90415,0
1,15.91,18.71,72.42,0.04,18.5,1,38,191,78,7.5,1.17135,0
1,15.91,19.12,75.91,0.26,19.12,0,47,165,60,52.5,0.98765,0
1,15.91,19.29,77.4,0.08,19.12,0,39,150,66,7.5,1.47195,-2
1,16.1,19.42,70.5,0.16,18.53,1,22,184,78,22.5,0.75385,-1
1,16.1,19.39,75.36,0.08,19.37,0,43,158,63,7.5,0.68705,0
1,16.5,19.86,74.73,0.08,20.06,1,25,170,68,60.0,0.58685,0
1,16.3,19.5,71.04,0.04,19.31,0,24,165,54,22.5,1.1129,1
1,16.3,20.07,75.69,0.08,20.19,0,19,167,64,22.5,0.58685,1
1,16.3,20.15,70.34,0.15,18.97,1,16,180,90,7.5,0.55345,2
1,16.2,20.14,69.935,0.135,19.0,0,58,163,99,7.5,1.0127,1
1,16.41,20.18,73.41,0.29,20.56,1,18,188,88,7.5,0.60355,0
1,17.7,21.715,62.26,0.14,20.34,0,24,165,60,7.5,0.38645,0
1,17.7,20.54,66.41,0.05,19.75,1,68,180,79,52.5,0.93755,1
