Timestamp,1. Geschlecht:,2. Alter:,3. Körpergröße (in cm),4. Körpergewicht (in kg),8. Wie lange fahren Sie schon auf dem Bus?,10. Bitte geben Sie an ob Sie sitzen oder stehen:,11. Bitte geben Sie Ihre Position im Bus an:,"12. Bitte geben Sie an, ob sie näher einer Fenster oder dem Gang sind:",clothing_insulation,comfort
2021-11-23 08:53:51,0,62,162,60,0,0,0.0,0,31,1.0
2021-11-23 08:57:47,0,36,163,65,0,0,1.0,0,21,1.6666666666666667
2021-11-23 09:12:25,0,23,168,68,1,0,2.0,0,35,1.0
2021-11-23 09:15:20,0,22,178,80,0,0,3.0,1,26,1.3333333333333333
2021-11-23 09:17:59,0,25,163,65,0,0,4.0,1,26,1.3333333333333333
2021-11-23 09:19:28,0,27,168,57,2,0,4.0,1,26,1.6666666666666667
2021-11-23 09:32:25,1,38,187,69,0,0,5.0,0,22,1.6666666666666667
2021-11-23 09:36:41,1,73,167,83,0,0,5.0,1,32,2.0
2021-11-23 10:02:34,1,61,176,80,0,0,4.0,0,29,1.3333333333333333
2021-11-23 10:06:04,1,47,184,81,1,1,5.0,0,22,1.3333333333333333
2021-11-23 10:08:56,0,35,176,67,0,0,1.0,0,30,1.6666666666666667
2021-11-23 10:15:01,0,55,170,74,0,0,1.0,0,24,2.0
2021-11-23 10:17:42,0,83,157,53,1,0,4.0,1,29,0.3333333333333333
2021-11-23 10:19:00,0,86,164,61,1,0,4.0,0,31,0.6666666666666666
2021-11-23 10:22:44,0,83,169,70,1,0,4.0,0,31,0.0
2021-11-23 10:29:31,0,49,160,50,1,0,3.0,0,29,1.6666666666666667
2021-11-23 10:30:28,1,52,186,95,1,0,3.0,1,25,2.0
2021-11-23 11:20:01,0,60,178,84,0,0,3.0,1,28,1.6666666666666667
2021-11-23 11:26:21,0,23,168,72,1,0,0.0,1,28,1.6666666666666667
2021-11-23 11:30:08,1,45,175,130,1,0,3.0,0,22,2.3333333333333335
2021-11-23 12:16:45,1,25,198,98,0,0,4.0,1,24,2.3333333333333335
2021-11-23 12:18:08,0,63,172,63,0,0,2.0,1,29,2.0
2021-11-23 12:19:24,1,27,183,110,0,0,3.0,0,20,1.6666666666666667
2021-11-23 12:22:10,0,14,153,50,0,0,1.0,1,31,2.0
2021-11-23 12:24:56,0,53,173,69,0,0,4.0,0,33,0.6666666666666666
2021-11-23 12:26:42,0,18,158,60,0,0,3.0,1,26,1.6666666666666667
2021-11-23 12:40:28,0,41,177,60,1,0,4.0,1,33,1.0
2021-11-23 12:46:27,0,70,150,45,1,0,6.0,1,24,1.3333333333333333
2021-11-23 12:48:56,1,20,186,75,1,0,1.0,1,31,2.6666666666666665
2021-11-23 12:51:55,1,23,168,72,1,0,2.0,0,28,1.3333333333333333
2021-11-23 13:28:28,1,24,190,79,0,0,5.0,1,26,2.0
2021-11-23 13:29:35,0,23,168,75,0,0,2.0,0,28,1.6666666666666667
2021-11-23 14:04:47,0,31,168,60,1,0,5.0,1,30,2.6666666666666665
2021-11-23 14:06:19,1,70,173,85,0,0,3.0,1,26,2.3333333333333335
2021-11-23 14:44:13,1,19,170,70,0,0,4.0,0,26,1.0
2021-11-23 15:15:23,1,25,162,70,1,0,3.0,1,29,2.0
2021-11-23 15:24:02,0,40,156,73,1,1,4.0,1,29,1.3333333333333333
